,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,state,property_valuation,age,bike_purchases
42,Female,46,N/A,Mass Customer,Yes,8.0,VIC,9,45.0,8
43,Male,63,N/A,Affluent Customer,No,1.0,NSW,9,26.0,5
44,Male,38,Manufacturing,Mass Customer,Yes,16.0,NSW,10,39.0,8
45,Male,68,Retail,Mass Customer,No,18.0,QLD,5,60.0,8
46,Male,57,Financial Services,Mass Customer,Yes,13.0,NSW,8,32.0,6
47,Female,22,Financial Services,Mass Customer,No,16.0,QLD,3,66.0,5
48,Female,2,Property,Mass Customer,Yes,18.0,NSW,8,54.0,7
49,Male,48,Financial Services,Affluent Customer,Yes,7.0,NSW,10,63.0,8
50,Male,44,Property,Mass Customer,Yes,4.0,NSW,10,24.0,7
51,Male,87,N/A,Mass Customer,Yes,13.0,QLD,6,32.0,6
52,Female,26,Financial Services,Affluent Customer,Yes,17.0,NSW,9,53.0,8
53,Male,60,N/A,High Net Worth,No,3.0,NSW,9,20.0,3
54,Female,18,Manufacturing,Mass Customer,No,10.0,NSW,10,50.0,2
55,Female,47,Property,High Net Worth,No,13.0,NSW,7,60.0,6
56,Female,38,IT,Mass Customer,Yes,22.0,NSW,8,41.0,6
57,Female,58,Retail,Mass Customer,Yes,16.0,NSW,9,55.0,3
58,Male,73,IT,High Net Worth,No,4.0,VIC,8,42.0,5
59,Male,21,Financial Services,Affluent Customer,Yes,15.0,NSW,10,44.0,6
60,Male,46,Argiculture,High Net Worth,No,1.0,NSW,10,18.0,5
61,Male,67,Retail,Mass Customer,No,18.0,NSW,10,60.0,5
62,Female,37,N/A,Affluent Customer,No,9.0,VIC,7,46.0,3
63,Female,16,N/A,Mass Customer,No,6.0,VIC,7,51.0,6
64,Male,78,Financial Services,Affluent Customer,No,8.0,NSW,12,27.0,5
65,Male,30,Argiculture,Affluent Customer,Yes,12.0,NSW,10,35.0,1
66,Male,93,Manufacturing,Affluent Customer,Yes,16.0,QLD,6,48.0,4
67,Female,16,N/A,Affluent Customer,Yes,5.0,NSW,8,60.0,6
68,Female,94,N/A,Mass Customer,Yes,6.0,QLD,8,51.0,3
69,Female,28,Property,Mass Customer,No,19.0,NSW,8,42.0,8
70,Female,20,Retail,High Net Worth,Yes,18.0,QLD,9,42.0,8
71,Male,79,Financial Services,Mass Customer,No,7.0,QLD,5,30.0,3
72,Male,37,Argiculture,Affluent Customer,No,8.0,NSW,9,35.0,2
73,Female,76,Manufacturing,Mass Customer,No,18.0,NSW,10,51.0,6
74,Male,11,Entertainment,Mass Customer,No,13.0,VIC,1,42.0,10
75,Female,58,Health,High Net Worth,No,13.0,NSW,6,34.0,4
76,Female,93,Property,High Net Worth,No,19.0,VIC,8,55.0,5
77,Male,97,IT,Mass Customer,Yes,18.0,NSW,12,53.0,6
78,Male,78,N/A,Mass Customer,Yes,14.0,NSW,11,62.0,7
79,Male,1,N/A,Mass Customer,No,8.0,NSW,11,62.0,6
80,Male,75,Health,High Net Worth,Yes,7.0,NSW,11,31.0,9
81,Male,78,Financial Services,Mass Customer,No,8.0,NSW,12,46.0,9
82,Female,41,Property,High Net Worth,Yes,7.0,NSW,12,54.0,6
83,Male,74,Health,Mass Customer,Yes,14.0,NSW,11,53.0,9
84,Male,76,Manufacturing,Mass Customer,No,11.0,NSW,10,35.0,7
85,Male,69,Financial Services,Affluent Customer,Yes,17.0,NSW,9,65.0,8
86,Female,98,Health,Mass Customer,No,12.0,VIC,10,39.0,3
87,Male,63,Retail,Mass Customer,Yes,10.0,VIC,10,44.0,3
88,Male,33,Manufacturing,Mass Customer,No,21.0,NSW,7,46.0,7
89,Female,67,Manufacturing,Affluent Customer,Yes,8.0,VIC,10,59.0,4
90,Male,33,Manufacturing,Mass Customer,No,15.0,NSW,11,52.0,3
91,Male,16,Financial Services,Mass Customer,Yes,10.0,NSW,8,41.0,8
92,Female,19,Health,Mass Customer,No,7.0,NSW,10,64.0,5
93,Male,97,Financial Services,Mass Customer,No,3.0,NSW,9,22.0,9
94,Male,80,Financial Services,Mass Customer,Yes,4.0,NSW,12,52.0,2
95,Male,83,Manufacturing,High Net Worth,No,11.0,NSW,10,44.0,4
96,Male,51,Manufacturing,Affluent Customer,No,16.0,NSW,9,63.0,7
97,Female,49,Financial Services,Affluent Customer,Yes,4.0,NSW,12,23.0,5
98,Female,40,Health,Mass Customer,Yes,9.0,QLD,10,42.0,8
99,Female,25,Manufacturing,Mass Customer,No,1.0,NSW,10,18.0,4
100,Male,54,Health,High Net Worth,Yes,18.0,NSW,9,54.0,3
101,Female,97,Financial Services,Mass Customer,Yes,9.0,NSW,12,30.0,4
102,Female,4,N/A,High Net Worth,No,3.0,NSW,8,26.0,3
103,Male,16,N/A,Affluent Customer,Yes,4.0,NSW,11,41.0,10
104,Male,23,Financial Services,Affluent Customer,No,1.0,VIC,8,20.0,7
105,Female,65,N/A,Mass Customer,No,2.0,NSW,12,27.0,4
106,Female,88,Retail,High Net Worth,No,12.0,VIC,11,45.0,6
107,Male,67,N/A,Mass Customer,No,20.0,QLD,4,64.0,6
108,Female,10,Entertainment,Affluent Customer,No,8.0,NSW,9,34.0,4
109,Male,77,Health,Mass Customer,No,18.0,VIC,1,38.0,8
110,Male,49,Manufacturing,Affluent Customer,Yes,2.0,NSW,8,21.0,8
111,Female,75,Manufacturing,Mass Customer,No,15.0,QLD,6,38.0,10
112,Male,43,N/A,High Net Worth,No,19.0,VIC,10,60.0,5
113,Male,9,N/A,High Net Worth,Yes,9.0,VIC,7,38.0,4
114,Male,80,Financial Services,High Net Worth,Yes,4.0,NSW,2,42.0,3
115,Male,82,Manufacturing,Mass Customer,No,15.0,NSW,9,62.0,4
116,Male,87,Financial Services,Mass Customer,Yes,12.0,QLD,2,41.0,5
117,Female,85,Financial Services,High Net Worth,No,15.0,NSW,8,31.0,4
118,Female,27,Health,High Net Worth,Yes,5.0,VIC,8,25.0,7
119,Female,94,Property,Mass Customer,No,16.0,NSW,10,60.0,10
120,Male,53,Health,Mass Customer,Yes,3.0,QLD,4,27.0,3
121,Female,81,Financial Services,Mass Customer,No,19.0,QLD,1,45.0,10
122,Male,73,Property,Mass Customer,Yes,12.0,NSW,5,43.0,4
123,Male,64,Financial Services,High Net Worth,Yes,19.0,NSW,9,35.0,4
124,Male,32,Manufacturing,Mass Customer,No,1.0,NSW,7,23.0,2
125,Female,57,Retail,High Net Worth,No,8.0,QLD,3,55.0,6
126,Female,5,Manufacturing,Mass Customer,Yes,9.0,NSW,8,57.0,6
127,Male,12,Financial Services,Mass Customer,Yes,16.0,QLD,1,43.0,5
128,Female,34,Telecommunications,Affluent Customer,Yes,5.0,NSW,11,23.0,6
129,Female,18,IT,Mass Customer,No,3.0,VIC,6,45.0,7
130,Male,46,Manufacturing,High Net Worth,Yes,7.0,QLD,3,47.0,8
131,Male,27,Property,High Net Worth,No,10.0,NSW,10,32.0,5
132,Male,5,Financial Services,Affluent Customer,Yes,13.0,NSW,9,35.0,7
133,Male,1,Telecommunications,Affluent Customer,No,4.0,QLD,1,56.0,9
134,Male,9,Manufacturing,Mass Customer,No,2.0,VIC,9,26.0,6
135,Male,67,Financial Services,High Net Worth,Yes,10.0,NSW,11,66.0,3
136,Male,57,Health,Affluent Customer,No,17.0,VIC,9,53.0,11
137,Male,19,Argiculture,Mass Customer,Yes,11.0,QLD,6,63.0,4
138,Male,33,Financial Services,Mass Customer,No,4.0,NSW,5,23.0,7
139,Male,34,Manufacturing,Mass Customer,No,8.0,NSW,11,35.0,2
140,Female,32,Health,Mass Customer,Yes,10.0,NSW,11,46.0,6
141,Female,69,N/A,Mass Customer,Yes,5.0,VIC,8,39.0,5
142,Female,41,Health,Mass Customer,Yes,1.0,QLD,7,25.0,6
143,Male,6,Financial Services,Affluent Customer,No,17.0,NSW,7,37.0,4
144,Male,36,Manufacturing,Mass Customer,Yes,13.0,NSW,9,55.0,7
145,Female,5,Financial Services,Mass Customer,No,16.0,NSW,12,39.0,2
146,Female,73,Entertainment,Mass Customer,Yes,12.0,NSW,8,43.0,7
147,Female,90,N/A,Mass Customer,No,11.0,NSW,8,62.0,5
148,Male,4,Manufacturing,Mass Customer,No,10.0,NSW,10,34.0,3
149,Female,23,Financial Services,Mass Customer,Yes,11.0,VIC,11,41.0,5
150,Male,97,Financial Services,Affluent Customer,No,16.0,VIC,8,45.0,4
151,Male,99,N/A,Affluent Customer,No,5.0,NSW,6,36.0,6
152,Male,90,Health,Affluent Customer,No,13.0,NSW,10,33.0,6
153,Male,5,Health,Mass Customer,No,18.0,NSW,11,56.0,2
154,Male,49,N/A,Mass Customer,No,16.0,NSW,10,44.0,1
155,Male,90,IT,Mass Customer,No,15.0,NSW,10,41.0,3
156,Female,58,Entertainment,High Net Worth,Yes,14.0,VIC,10,44.0,2
157,Female,55,Retail,Affluent Customer,Yes,1.0,QLD,4,21.0,3
158,Male,61,Argiculture,Mass Customer,Yes,12.0,NSW,10,36.0,9
159,Male,54,Manufacturing,Affluent Customer,No,6.0,QLD,4,65.0,8
160,Female,95,Health,High Net Worth,Yes,17.0,QLD,6,50.0,9
161,Male,20,Telecommunications,High Net Worth,Yes,5.0,NSW,9,62.0,3
162,Male,80,Health,High Net Worth,No,21.0,VIC,8,45.0,4
163,Female,62,Manufacturing,Mass Customer,No,10.0,NSW,11,49.0,8
164,Male,54,Manufacturing,Affluent Customer,Yes,6.0,VIC,4,31.0,7
165,Female,99,Health,Affluent Customer,No,1.0,NSW,8,23.0,9
166,Female,93,Health,Mass Customer,No,12.0,NSW,9,30.0,10
167,Male,36,Manufacturing,Affluent Customer,No,5.0,VIC,11,44.0,5
168,Male,39,Property,Mass Customer,No,10.0,NSW,8,28.0,5
169,Female,25,Financial Services,High Net Worth,No,4.0,NSW,5,30.0,12
170,Male,2,N/A,Affluent Customer,No,8.0,NSW,7,53.0,4
171,Male,23,Manufacturing,High Net Worth,Yes,6.0,NSW,9,54.0,3
172,Female,16,Argiculture,Affluent Customer,No,14.0,QLD,8,48.0,7
173,Female,49,Manufacturing,Mass Customer,No,9.0,VIC,1,37.0,5
174,Male,99,Financial Services,Affluent Customer,Yes,7.0,QLD,4,27.0,7
175,Female,7,Retail,Affluent Customer,No,3.0,NSW,10,23.0,6
176,Male,40,Manufacturing,High Net Worth,Yes,7.0,NSW,1,48.0,3
177,Male,80,Property,Mass Customer,Yes,13.0,NSW,5,40.0,7
178,Female,46,Financial Services,Mass Customer,No,3.0,QLD,7,46.0,6
179,Male,97,N/A,Mass Customer,No,11.0,NSW,10,66.0,7
180,Female,54,Property,High Net Worth,Yes,13.0,NSW,11,45.0,6
181,Male,73,Financial Services,Affluent Customer,No,10.0,VIC,4,39.0,5
182,Female,42,Health,Affluent Customer,No,10.0,NSW,9,41.0,4
183,Male,22,N/A,Affluent Customer,Yes,6.0,NSW,7,60.0,1
184,Female,2,Health,Mass Customer,Yes,8.0,VIC,6,41.0,4
185,Male,13,Manufacturing,Mass Customer,Yes,12.0,QLD,7,56.0,5
186,Female,4,Financial Services,Affluent Customer,No,10.0,QLD,5,45.0,3
187,Female,34,Manufacturing,Mass Customer,No,6.0,VIC,9,61.0,7
188,Male,90,Manufacturing,High Net Worth,No,6.0,NSW,8,54.0,8
189,Female,32,N/A,High Net Worth,No,5.0,NSW,12,43.0,9
190,Female,82,Entertainment,Mass Customer,No,16.0,VIC,7,38.0,9
191,Female,61,Health,Mass Customer,Yes,21.0,NSW,8,42.0,4
192,Male,7,Property,Affluent Customer,Yes,19.0,QLD,2,63.0,9
193,Male,45,Manufacturing,Mass Customer,Yes,11.0,NSW,9,54.0,8
194,Female,38,Entertainment,Affluent Customer,Yes,16.0,QLD,5,57.0,3
195,Male,71,Argiculture,Mass Customer,Yes,11.0,NSW,11,56.0,5
196,Male,56,Financial Services,Mass Customer,No,5.0,VIC,10,43.0,8
197,Male,18,Financial Services,Mass Customer,Yes,6.0,VIC,9,61.0,9
198,Female,98,N/A,Mass Customer,Yes,14.0,NSW,9,66.0,4
199,Female,9,N/A,Mass Customer,No,7.0,QLD,8,26.0,3
200,Male,57,Property,High Net Worth,No,5.0,QLD,7,25.0,5
201,Male,9,N/A,Affluent Customer,Yes,6.0,NSW,11,63.0,5
202,Male,50,Property,Mass Customer,No,18.0,VIC,9,56.0,6
203,Female,6,Manufacturing,Mass Customer,Yes,5.0,NSW,10,46.0,9
204,Female,21,IT,Affluent Customer,No,1.0,QLD,4,18.0,2
205,Male,13,Financial Services,High Net Worth,Yes,6.0,QLD,4,24.0,11
206,Male,82,Health,Mass Customer,No,6.0,QLD,9,62.0,6
207,Female,37,Retail,High Net Worth,Yes,18.0,QLD,3,46.0,8
208,Female,12,Financial Services,High Net Worth,Yes,7.0,NSW,10,25.0,4
209,Female,63,Manufacturing,High Net Worth,No,16.0,NSW,11,40.0,8
210,Female,37,Property,High Net Worth,Yes,8.0,NSW,8,27.0,4
211,Male,9,Health,Mass Customer,No,7.0,NSW,8,55.0,6
212,Female,79,Manufacturing,High Net Worth,No,9.0,VIC,8,66.0,6
213,Female,14,Manufacturing,Mass Customer,No,14.0,NSW,8,40.0,6
214,Male,89,Health,Mass Customer,No,16.0,NSW,11,42.0,2
215,Male,13,N/A,Affluent Customer,Yes,14.0,NSW,7,36.0,7
216,Male,2,Financial Services,Affluent Customer,No,17.0,NSW,12,52.0,6
217,Female,84,Health,Affluent Customer,No,13.0,NSW,9,43.0,3
218,Male,96,Manufacturing,Mass Customer,No,20.0,NSW,7,42.0,2
219,Male,99,Entertainment,Mass Customer,No,18.0,NSW,9,47.0,5
220,Female,59,Manufacturing,High Net Worth,No,12.0,NSW,7,34.0,5
221,Male,30,Property,High Net Worth,No,19.0,NSW,10,54.0,5
222,Female,74,Property,High Net Worth,No,11.0,NSW,11,66.0,11
223,Male,48,Financial Services,Mass Customer,Yes,3.0,NSW,10,25.0,4
224,Female,94,Retail,Mass Customer,No,12.0,NSW,9,32.0,6
225,Male,34,Property,Mass Customer,No,13.0,NSW,10,34.0,6
226,Female,71,Retail,High Net Worth,No,12.0,NSW,10,51.0,9
227,Female,30,Health,Mass Customer,No,15.0,NSW,8,43.0,11
228,Male,79,Health,Affluent Customer,No,14.0,VIC,2,65.0,4
229,Male,18,Property,High Net Worth,Yes,11.0,NSW,11,46.0,8
230,Male,54,N/A,Mass Customer,Yes,14.0,NSW,8,36.0,5
231,Male,62,Health,Affluent Customer,No,3.0,QLD,3,27.0,9
232,Male,49,IT,High Net Worth,Yes,15.0,NSW,9,31.0,6
233,Male,94,Entertainment,Mass Customer,No,20.0,QLD,7,33.0,4
234,Male,17,Property,Affluent Customer,No,8.0,NSW,9,28.0,7
235,Female,94,Manufacturing,High Net Worth,Yes,14.0,NSW,8,44.0,5
236,Male,57,Retail,Affluent Customer,No,8.0,VIC,6,45.0,3
237,Female,6,Financial Services,Affluent Customer,No,1.0,VIC,1,18.0,5
238,Female,63,Manufacturing,High Net Worth,No,9.0,QLD,5,29.0,9
239,Female,62,Financial Services,High Net Worth,Yes,13.0,NSW,4,37.0,7
240,Female,76,Health,Affluent Customer,Yes,12.0,NSW,10,42.0,7
241,Male,65,IT,High Net Worth,No,9.0,NSW,11,27.0,9
242,Male,53,Health,Mass Customer,Yes,13.0,NSW,10,32.0,7
243,Female,88,Financial Services,Affluent Customer,Yes,10.0,NSW,8,42.0,4
244,Female,39,Property,Mass Customer,Yes,13.0,NSW,7,37.0,5
245,Female,82,Health,Mass Customer,Yes,1.0,NSW,7,23.0,5
246,Female,98,Retail,Mass Customer,No,14.0,VIC,1,58.0,7
247,Female,2,IT,Mass Customer,No,5.0,VIC,2,66.0,11
248,Female,16,Health,High Net Worth,Yes,21.0,NSW,7,45.0,5
249,Female,70,Manufacturing,Affluent Customer,Yes,19.0,NSW,5,54.0,5
250,Female,24,Manufacturing,High Net Worth,No,9.0,NSW,6,28.0,5
251,Female,70,Health,High Net Worth,Yes,3.0,NSW,6,37.0,4
252,Female,47,Health,High Net Worth,Yes,22.0,QLD,2,41.0,9
253,Male,74,N/A,Mass Customer,No,8.0,NSW,1,42.0,9
254,Male,97,Health,High Net Worth,Yes,10.0,NSW,10,42.0,5
255,Female,89,Health,High Net Worth,No,7.0,NSW,9,34.0,7
256,Male,31,Health,Mass Customer,No,11.0,NSW,10,42.0,4
257,Male,74,Retail,High Net Worth,Yes,18.0,VIC,9,54.0,4
258,Female,69,Retail,Affluent Customer,No,18.0,NSW,10,31.0,4
259,Female,60,Manufacturing,Mass Customer,No,10.0,NSW,9,41.0,4
260,Male,55,Property,Mass Customer,Yes,9.0,VIC,7,65.0,5
261,Female,38,N/A,Mass Customer,Yes,17.0,VIC,10,49.0,7
262,Female,51,Financial Services,Mass Customer,No,4.0,QLD,2,29.0,2
263,Female,22,Retail,Mass Customer,Yes,1.0,NSW,12,33.0,7
264,Male,54,N/A,Mass Customer,No,19.0,VIC,9,57.0,10
265,Female,66,Health,Mass Customer,Yes,14.0,VIC,8,43.0,4
266,Male,7,Health,High Net Worth,No,13.0,NSW,4,65.0,7
267,Female,47,Financial Services,Mass Customer,No,22.0,VIC,8,30.0,6
268,Female,69,N/A,High Net Worth,No,15.0,QLD,8,64.0,4
269,Male,22,N/A,Affluent Customer,Yes,4.0,NSW,12,23.0,1
270,Female,0,Manufacturing,Mass Customer,No,11.0,NSW,11,39.0,6
271,Male,15,N/A,Affluent Customer,Yes,5.0,NSW,8,25.0,11
272,Female,51,Financial Services,High Net Worth,Yes,8.0,NSW,6,47.0,4
273,Male,82,Argiculture,High Net Worth,Yes,11.0,QLD,5,30.0,2
274,Female,34,Retail,Mass Customer,No,2.0,QLD,6,29.0,6
275,Male,38,Financial Services,High Net Worth,Yes,9.0,NSW,11,34.0,5
276,Female,3,Manufacturing,Mass Customer,No,12.0,NSW,12,42.0,6
277,Male,99,Manufacturing,Affluent Customer,Yes,11.0,QLD,7,31.0,4
278,Female,41,Manufacturing,Affluent Customer,No,4.0,NSW,8,35.0,1
279,Male,71,Manufacturing,High Net Worth,No,9.0,VIC,7,35.0,4
280,Female,43,Health,High Net Worth,No,10.0,NSW,9,50.0,9
281,Female,63,Entertainment,Mass Customer,No,4.0,VIC,5,48.0,2
282,Female,42,N/A,Affluent Customer,Yes,9.0,QLD,8,58.0,7
283,Male,80,Manufacturing,Mass Customer,Yes,20.0,NSW,2,30.0,5
284,Male,39,N/A,High Net Worth,No,5.0,VIC,7,61.0,7
285,Female,64,N/A,Mass Customer,Yes,18.0,QLD,6,55.0,7
286,Male,34,Health,High Net Worth,Yes,17.0,NSW,8,48.0,3
287,Female,33,Manufacturing,High Net Worth,No,16.0,VIC,7,61.0,4
288,Male,69,Manufacturing,High Net Worth,No,9.0,VIC,8,64.0,10
289,Female,80,Financial Services,Mass Customer,Yes,7.0,NSW,9,63.0,7
290,Male,88,Health,Mass Customer,No,9.0,VIC,9,64.0,5
291,Female,54,Manufacturing,High Net Worth,No,19.0,NSW,7,39.0,2
292,Female,32,Health,Mass Customer,No,13.0,QLD,7,43.0,2
293,Female,59,Argiculture,Mass Customer,Yes,14.0,NSW,9,46.0,3
294,Male,36,Manufacturing,Mass Customer,Yes,15.0,NSW,11,51.0,9
295,Female,1,Financial Services,Mass Customer,No,11.0,NSW,4,46.0,7
296,Male,19,Health,High Net Worth,No,18.0,VIC,3,47.0,2
297,Male,55,Health,Affluent Customer,Yes,12.0,VIC,9,36.0,9
298,Male,2,IT,High Net Worth,No,4.0,VIC,5,37.0,6
299,Female,53,Health,Mass Customer,Yes,21.0,VIC,7,45.0,4
300,Female,0,Financial Services,Mass Customer,Yes,18.0,NSW,9,35.0,7
301,Female,86,Health,High Net Worth,No,12.0,NSW,10,63.0,6
302,Male,44,Financial Services,Affluent Customer,Yes,6.0,NSW,10,62.0,6
303,Male,70,Manufacturing,Mass Customer,Yes,13.0,VIC,8,32.0,6
304,Female,27,Retail,High Net Worth,Yes,5.0,VIC,3,58.0,8
305,Female,67,Manufacturing,Affluent Customer,No,12.0,VIC,10,62.0,9
306,Female,72,Manufacturing,Mass Customer,Yes,10.0,VIC,7,44.0,4
307,Female,26,Entertainment,Mass Customer,Yes,14.0,NSW,10,46.0,5
308,Female,21,Retail,Affluent Customer,Yes,18.0,NSW,2,51.0,7
309,Female,32,Retail,Mass Customer,Yes,14.0,NSW,8,48.0,5
310,Male,19,Health,Mass Customer,No,4.0,QLD,2,23.0,10
311,Female,58,N/A,Mass Customer,No,18.0,QLD,5,46.0,5
312,Female,19,Financial Services,Mass Customer,Yes,11.0,QLD,6,43.0,12
313,Female,54,Health,Mass Customer,Yes,7.0,QLD,9,47.0,6
314,Male,97,IT,Mass Customer,Yes,15.0,NSW,9,34.0,5
315,Female,98,Financial Services,Affluent Customer,Yes,17.0,QLD,8,48.0,6
316,Female,74,Financial Services,Mass Customer,No,6.0,NSW,10,40.0,3
317,Female,10,Health,Mass Customer,No,12.0,QLD,8,52.0,5
318,Female,87,Manufacturing,Mass Customer,No,12.0,VIC,8,29.0,8
319,Male,25,Entertainment,High Net Worth,Yes,12.0,VIC,4,35.0,6
320,Male,78,Manufacturing,High Net Worth,Yes,7.0,NSW,9,61.0,6
321,Male,87,Health,Mass Customer,Yes,3.0,NSW,8,21.0,6
322,Female,23,Health,High Net Worth,No,14.0,QLD,8,42.0,2
323,Female,25,Financial Services,Affluent Customer,Yes,8.0,QLD,5,55.0,7
324,Female,71,Financial Services,Affluent Customer,Yes,3.0,VIC,2,21.0,6
325,Female,20,N/A,Affluent Customer,No,8.0,VIC,6,37.0,2
326,Female,91,Manufacturing,High Net Worth,No,3.0,VIC,8,40.0,5
327,Female,67,Argiculture,High Net Worth,Yes,12.0,VIC,10,40.0,6
328,Female,33,Health,Mass Customer,No,19.0,VIC,12,62.0,7
329,Female,56,Health,Mass Customer,No,12.0,NSW,8,40.0,5
330,Male,39,Argiculture,Mass Customer,Yes,17.0,NSW,10,47.0,8
331,Male,10,Financial Services,Mass Customer,No,5.0,NSW,8,44.0,2
332,Male,40,Health,High Net Worth,No,2.0,NSW,10,33.0,4
333,Female,76,Property,Affluent Customer,No,13.0,NSW,11,63.0,9
334,Female,91,N/A,High Net Worth,Yes,4.0,NSW,9,47.0,9
335,Female,74,Health,High Net Worth,Yes,17.0,NSW,9,31.0,7
336,Male,68,Financial Services,Mass Customer,No,3.0,NSW,10,39.0,9
337,Male,50,Financial Services,Mass Customer,No,9.0,NSW,9,55.0,7
338,Male,20,Retail,Mass Customer,Yes,9.0,NSW,10,39.0,6
339,Female,35,Manufacturing,High Net Worth,No,4.0,VIC,11,39.0,5
340,Female,47,Health,Mass Customer,Yes,9.0,VIC,9,42.0,6
341,Male,69,Health,Mass Customer,Yes,2.0,VIC,10,21.0,2
342,Male,12,Retail,Mass Customer,No,4.0,QLD,6,41.0,6
343,Female,9,N/A,Mass Customer,No,3.0,VIC,9,39.0,11
344,Female,87,Property,Mass Customer,No,9.0,NSW,5,39.0,6
345,Female,97,Retail,Mass Customer,Yes,3.0,NSW,8,41.0,5
346,Female,10,Entertainment,High Net Worth,No,5.0,QLD,3,45.0,5
347,Female,21,N/A,Affluent Customer,No,18.0,VIC,9,51.0,8
348,Female,54,N/A,Mass Customer,No,18.0,NSW,9,34.0,2
349,Female,2,Manufacturing,Affluent Customer,Yes,6.0,NSW,4,61.0,10
350,Female,64,Property,Mass Customer,Yes,19.0,NSW,7,64.0,5
351,Female,59,Health,Mass Customer,Yes,2.0,NSW,11,21.0,7
352,Female,47,Financial Services,High Net Worth,Yes,18.0,NSW,7,45.0,5
353,Female,82,Retail,Mass Customer,Yes,7.0,NSW,12,32.0,6
354,Female,96,Financial Services,Affluent Customer,No,11.0,QLD,9,43.0,6
355,Female,98,Property,High Net Worth,No,15.0,QLD,5,44.0,7
356,Female,7,Entertainment,High Net Worth,No,19.0,NSW,10,66.0,6
357,Female,93,Manufacturing,Mass Customer,Yes,12.0,NSW,12,35.0,6
358,Female,32,Financial Services,High Net Worth,No,6.0,QLD,6,33.0,9
359,Male,19,Financial Services,Mass Customer,Yes,9.0,VIC,10,29.0,8
360,Male,91,Telecommunications,Affluent Customer,Yes,3.0,QLD,4,22.0,7
361,Male,7,Financial Services,Mass Customer,No,7.0,VIC,4,66.0,5
362,Female,19,Property,Affluent Customer,Yes,4.0,VIC,8,33.0,8
363,Female,95,Health,High Net Worth,Yes,1.0,VIC,9,20.0,1
